机器序列号,
后台名称,hopeInsight
后台软件版本,004.008.000_176
后台协议版本,600.000.000
DSP软件版本,控制侧软件版本-100.006.101,
产品属性,1547976753
系列名称,传动
系列名称键值,Drive
产品名称,HV350
产品名称键值,HV350




文件生成时间,2022-06-09 22:43:19,V00004
波形实验条件,5k Fctrl Fsw




丢帧信息,
示波器开启时间,2022-06-09  21:44:21:298
纵轴,-10000,10000
时基,1.000,
时基转换率,1000.000,
X轴偏移量,1943.810,
X轴格数,20,




波形实验条件标题,
波形实验条件模板


设置参数
2022-06-09  21:44:36:397,S - 01.18,载波频率,sys_001_018,6.0,5.0,
2022-06-09  21:45:01:221,S - 01.18,载波频率,sys_001_018,5.0,4.0,
2022-06-09  21:45:45:555,S - 01.18,载波频率,sys_001_018,4.0,3.0,
2022-06-09  21:46:30: 25,S - 01.18,载波频率,sys_001_018,3.0,2.5,
2022-06-09  21:46:53:801,S - 01.18,载波频率,sys_001_018,2.5,1.0,


置顶参数
I - 57.43,速度环Kp(S120定标),inv_057_043,3.00,
I - 57.44,速度环Ti(S120定标),inv_057_044,300,
I - 105.01,Cpu使用率,inv_105_001,40.75,
I - 105.02,Cpu最大使用率,inv_105_002,61.41,
I - 54.22,开关频率实际值,inv_054_022,1000,
I - 52.27,PWM周期原始实际值,inv_052_027,30000,
S - 01.18,载波频率,sys_001_018,1.0,
I - 54.21,开关频率设定生效值,inv_054_021,1000,
I - 54.03,开关频率可调配置字,inv_054_003,1010001010010110,


标记信息


通道号,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12
通道参数,I8 - 54.22,S - 145.32,S - 145.33,,,,,,,,,,
58,5999.000000,2060.000000,2030.000000, , , , , , , , , ,
59,5999.000000,2041.000000,2034.000000, , , , , , , , , ,
60,5999.000000,2043.000000,2026.000000, , , , , , , , , ,
61,5999.000000,2062.000000,2036.000000, , , , , , , , , ,
62,5999.000000,2058.000000,2023.000000, , , , , , , , , ,
63,5999.000000,2064.000000,2035.000000, , , , , , , , , ,
64,5999.000000,2047.000000,2036.000000, , , , , , , , , ,
65,5999.000000,2045.000000,2034.000000, , , , , , , , , ,
66,5999.000000,2048.000000,2039.000000, , , , , , , , , ,
67,5999.000000,2048.000000,2032.000000, , , , , , , , , ,
68,5999.000000,2064.000000,2037.000000, , , , , , , , , ,
69,5999.000000,2054.000000,2039.000000, , , , , , , , , ,
70,5999.000000,2057.000000,2038.000000, , , , , , , , , ,
71,5999.000000,2045.000000,2040.000000, , , , , , , , , ,
72,5999.000000,2042.000000,2035.000000, , , , , , , , , ,
73,5999.000000,2060.000000,2038.000000, , , , , , , , , ,
74,5999.000000,2064.000000,2033.000000, , , , , , , , , ,
75,5999.000000,2065.000000,2040.000000, , , , , , , , , ,
76,5999.000000,2047.000000,2033.000000, , , , , , , , , ,
77,5999.000000,2052.000000,2036.000000, , , , , , , , , ,
78,5999.000000,2041.000000,2035.000000, , , , , , , , , ,
79,5999.000000,2059.000000,2033.000000, , , , , , , , , ,
80,5999.000000,2055.000000,2036.000000, , , , , , , , , ,
81,5999.000000,2061.000000,2036.000000, , , , , , , , , ,
82,5999.000000,2069.000000,2041.000000, , , , , , , , , ,
83,5999.000000,2045.000000,2039.000000, , , , , , , , , ,
84,5999.000000,2053.000000,2037.000000, , , , , , , , , ,
85,5999.000000,2050.000000,2033.000000, , , , , , , , , ,
86,5999.000000,2064.000000,2033.000000, , , , , , , , , ,
87,5999.000000,2060.000000,2033.000000, , , , , , , , , ,
88,5999.000000,2058.000000,2033.000000, , , , , , , , , ,
89,5999.000000,2043.000000,2024.000000, , , , , , , , , ,
90,5999.000000,2041.000000,2037.000000, , , , , , , , , ,
